seq,timestamp_ms,px_m,py_m,d1_m,d2_m,anchor1_id,anchor2_id,valid,reason_code
23,-576451251566,1.7829072111215982,3.0865711157973337,4.210723747792182,3.471734555310895,1,2,1,
24,-576451251469,1.7784431212749139,3.1227840061997756,4.239987752857667,3.5013101633691663,1,2,1,
25,-576451251338,1.8016493445529393,3.124533242467313,4.2253036791415335,3.514024068052753,1,2,1,
26,-576451251203,1.813774883960452,3.1226443665090424,4.215618439030893,3.518262036280614,1,2,1,
27,-576451251055,1.7803815084866565,3.0637313766216088,4.196039674076048,3.4505447141715853,1,2,1,
28,-576451250946,1.7643579107269614,3.082282408758583,4.2205131302696035,3.459020650627309,1,2,1,
29,-576451250816,1.7952711037671252,3.15212116775065,4.249777135335089,3.5351237396552992,1,2,1,
30,-576451250645,1.7778071530996429,3.0748614874856406,4.205829056553471,3.459020650627309,1,2,1,
32,-576451250338,1.7918491027292225,3.0475797043816346,4.176460909121205,3.442068777715861,1,2,1,
33,-576451250236,1.7918744583962014,3.0135570603560624,4.152091595294431,3.41249316965759,1,2,1,
34,-576451250132,1.7900099090136887,3.004860374259811,4.14719690405572,3.404017233201866,1,2,1,
36,-576451249891,1.8759608170906157,2.958980353015748,4.054301912886993,3.4082552014297276,1,2,1,
37,-576451249764,1.8287572073191996,2.9331600345196187,4.068985986603126,3.3617277204600087,1,2,1,
38,-576451249637,1.7493319111229422,2.9013520917971385,4.103248825274103,3.294010398350979,1,2,1,
39,-576451249508,1.8066948852079845,2.897079658819542,4.059196604125703,3.319438207718152,1,2,1,
40,-576451249314,1.8136255649475275,2.8482841354144504,4.020143216582797,3.2812964936673934,1,2,1,
41,-576451249212,1.8096926941605767,2.8159789604117598,4.0005644516279535,3.2517208856091218,1,2,1,
42,-576451249109,1.837723610571632,2.808477836029069,3.9751510790588465,3.260196822064846,1,2,1,
43,-576451248988,1.753927198607574,2.7061563839204346,3.966675142603122,3.1290001460746497,1,2,1,
44,-576451248801,1.772278476495778,2.6696431162035945,3.9286235980891275,3.107900474472102,1,2,1,
45,-576451248700,1.786168324416305,2.615200816489559,3.882096117119408,3.0697587604213443,1,2,1,
46,-576451248495,1.8203262043765474,2.65348787079049,3.882096117119408,3.1205242096189254,1,2,1,
47,-576451248392,1.781229410823841,2.5319091310357367,3.8313306679218266,2.9977333548095375,1,2,1,
48,-576451248290,1.7799115126842846,2.477660284085887,3.7974269220989303,2.9522257951208903,1,2,1,
49,-576451248187,1.7740113719871187,2.437307699392951,3.776327250496383,2.9157421225346836,1,2,1,
