seq,timestamp_ms,px_m,py_m,d1_m,d2_m,anchor1_id,anchor2_id,valid,reason_code
54,-576450923165,2.1210433751541298,2.126404076495432,3.3109622712624276,2.8975973172856926,1,2,1,
55,-576450923035,2.0742353712557353,2.1082169980819714,3.3362999110928366,2.8519927265529335,1,2,1,
57,-576450922775,1.963220866986954,2.081315705442448,3.4082552014297276,2.7564171481023636,1,2,1,
58,-576450922645,1.9348224244598047,2.0641555552417925,3.420969106113314,2.7245909656335447,1,2,1,
59,-576450922458,1.9425188801414843,2.0816800154553836,3.425116904804413,2.742735770882536,1,2,1,
60,-576450922355,1.9213730862828573,2.045560597764065,3.420969106113314,2.701788670267165,1,2,1,
61,-576450922253,1.9129384577970998,2.0409077757521956,3.425116904804413,2.6926677521206135,1,2,1,
62,-576450922048,1.8568357082474463,2.0423246805284867,3.471734555310895,2.6562811105785182,1,2,1,
63,-576450921946,1.862111646977389,2.0498326225757872,3.471734555310895,2.66540202872507,1,2,1,
64,-576450921862,1.8176301228746312,2.0821969933499807,3.5267379727363384,2.660841569651794,1,2,1,
65,-576450921704,1.7987692812856686,2.092060789344043,3.5478376443388857,2.6562811105785182,1,2,1,
66,-576450921600,1.7705694600234336,2.132761956030344,3.594365125308605,2.669962487798346,1,2,1,
67,-576450921433,1.782377407208417,2.105586436550633,3.5690274854781956,2.6562811105785182,1,2,1,
68,-576450921330,1.803532872957768,2.135290237368057,3.5690274854781956,2.6926677521206135,1,2,1,
70,-576450921082,1.818727797156504,2.134619096637457,3.55631358079461,2.701788670267165,1,2,1,
71,-576450920916,1.848956023667172,2.1686763326208487,3.5520756125667474,2.7472962299558117,1,2,1,
72,-576450920818,1.866311917212812,2.2543649546929676,3.5901271570807434,2.82472700315739,1,2,1,
73,-576450920686,1.8607814632171875,2.3224645336820555,3.6366546380504623,2.874795021919313,1,2,1,
74,-576450920557,1.8717360046401166,2.3428196054210453,3.6408926062783245,2.8975973172856926,1,2,1,
75,-576450920428,1.9060792883412967,2.3448300094714436,3.615554966447915,2.9203025816079595,1,2,1,
76,-576450920281,1.964660438840983,2.362172777143413,3.581651220625019,2.970370600369882,1,2,1,
77,-576450920166,1.9952779393082976,2.4108243429819782,3.5901271570807434,3.0274692476794867,1,2,1,
78,-576450920034,2.0656646884117666,2.369240378366016,3.5097860998248906,3.0401831523630727,1,2,1,
79,-576450919887,2.0656646884117666,2.369240378366016,-1.0,-1.0,1,2,0,1
80,-576450919693,2.157366902261546,2.524301695604852,3.5478376443388857,3.2179073093229884,1,2,1,
81,-576450919619,2.1653380942350764,2.550603198572386,3.5605515490224717,3.2432449491533974,1,2,1,
82,-576450919488,2.1860204648758743,2.5773763469801945,3.564789517250334,3.277058525439531,1,2,1,
83,-576450919319,2.2244262949627984,2.5618550036315386,3.5267379727363384,3.2897724301231177,1,2,1,
84,-576450919180,2.246119935411939,2.571237867506893,3.518262036280614,3.3109622712624276,1,2,1,
85,-576450919079,2.3326829499627855,2.6697260000755483,3.530885771427438,3.442068777715861,1,2,1,
86,-576450918874,2.296913326897179,2.6887746462429156,3.5690274854781956,3.4335928412601366,1,2,1,
87,-576450918847,2.335388536695169,2.706309265230908,3.55631358079461,3.471734555310895,1,2,1,
89,-576450918567,2.463700844699017,2.8801917278886804,3.607079029992191,3.6874200872480434,1,2,1,
90,-576450918362,2.3467755114682456,2.83930551701876,3.6493685427340483,3.581651220625019,1,2,1,
91,-576450918259,2.257971993287198,2.8072322601297652,3.6831821190201817,3.5013101633691663,1,2,1,
92,-576450918157,2.2236371067589413,2.8390918130710445,3.729799769526664,3.5055481315970285,1,2,1,
93,-576450918055,2.177639778692289,2.8261386009037697,3.750899441129211,3.467496587083033,1,2,1,
94,-576450917850,2.1709894889045303,2.8258175008313464,3.7551374093570735,3.4632586188551717,1,2,1,
96,-576450917667,2.082287473865766,2.806852747040246,3.8016648903267924,3.395541296746142,1,2,1,
97,-576450917440,2.039367995913843,2.759518143049467,3.7974269220989303,3.3320619428649745,1,2,1,
98,-576450917410,2.0174020256758824,2.7854639085739095,3.8313306679218266,3.3405378793206983,1,2,1,
99,-576450917236,2.029382412897588,2.8029432924255313,3.835478466612925,3.3617277204600087,1,2,1,
100,-576450917133,1.9915961480422002,2.777734229643901,3.843954403068649,3.319438207718152,1,2,1,
101,-576450917018,2.042568930112755,2.804033158995869,3.827092699693964,3.370203656915733,1,2,1,
103,-576450916723,2.0551751194012895,2.769040968932889,3.793188953871068,3.3490138157764227,1,2,1,
104,-576450916621,2.0165729606820553,2.796387012903275,3.8397164348407875,3.3490138157764227,1,2,1,
105,-576450916416,2.1098548207186307,2.8443373221857877,3.8101408267825163,3.442068777715861,1,2,1,
106,-576450916314,2.133083981824393,2.848462682315996,3.7974269220989303,3.459020650627309,1,2,1,
107,-576450916211,2.31390086629113,3.004146603131864,3.7974269220989303,3.691658055475906,1,2,1,
108,-576450916007,2.0926132763710954,2.8514590851009336,3.827092699693964,3.4378308094879992,1,2,1,
109,-576450915903,2.175034350734188,2.880694421833124,3.793188953871068,3.5097860998248906,1,2,1,
110,-576450915844,1.9379995926751956,2.6499300355407835,3.793188953871068,3.1840035635000925,1,2,1,
111,-576450915700,1.9694032917544493,2.6950893284087747,3.8016648903267924,3.239006980925536,1,2,1,
112,-576450915582,1.993888084088339,2.714096380997255,3.7974269220989303,3.26867275852057,1,2,1,
113,-576450915450,1.932242403703019,2.674691120868355,3.8143787950103785,3.2009554364115407,1,2,1,
114,-576450915317,2.3724899462722724,3.002219534416135,3.759375377584935,3.725561801298802,1,2,1,
